patent_id,uspc_subclass_title
5806052,"Analog fuzzy computer (e.g., controller)"
5806052,Fuzzy inference processing
5806053,"Signal processing (e.g., filter)"
5806053,Control
5806053,Learning method
5806054,Semiconductor neural network
5806054,Digital neural network
5806054,Structure
5806055,KNOWLEDGE PROCESSING SYSTEM
5806056,Knowledge acquisition by a knowledge processing system
5806056,Having specific management of a knowledge base
5806056,Knowledge representation and reasoning technique
5806056,KNOWLEDGE PROCESSING SYSTEM
5809212,KNOWLEDGE PROCESSING SYSTEM
5809486,Fuzzy inference processing
5809486,"Analog fuzzy computer (e.g., controller)"
5809487,"Reasoning under uncertainty (e.g., fuzzy logic)"
5809487,"Analog fuzzy computer (e.g., controller)"
5809487,Learning task
5809487,PLURAL PROCESSING SYSTEMS
5809488,Prediction
5809488,PLURAL PROCESSING SYSTEMS
5809488,Learning task
5809488,Genetic algorithm and genetic programming system
5809489,Genetic algorithm and genetic programming system
5809490,Learning method
5809490,Learning task
5809491,KNOWLEDGE PROCESSING SYSTEM
5809492,Expert system shell or tool
5809492,KNOWLEDGE PROCESSING SYSTEM
5812992,Learning method
5812992,Learning task
5812992,NEURAL NETWORK
5812992,Prediction
5812993,Digital neural network
5812993,Learning method
5812993,Structure
5812993,Digital neuron processor
5812993,NEURAL NETWORK
5812993,Architecture
5812994,KNOWLEDGE PROCESSING SYSTEM
5819007,MACHINE LEARNING
5819007,"Reasoning under uncertainty (e.g., fuzzy logic)"
5819007,KNOWLEDGE PROCESSING SYSTEM
5819242,Fuzzy neural network
5819242,Learning task
5819243,HAVING PARTICULAR USER INTERFACE
5819244,ADAPTIVE SYSTEM
5819244,PLURAL PROCESSING SYSTEMS
5819244,Genetic algorithm and genetic programming system
5819245,Learning task
5819246,Learning method
5819247,Structure
5819247,Learning method
5819248,Creation or modification
5819248,"Law, law enforcement, or government"
5819248,KNOWLEDGE PROCESSING SYSTEM
5819249,Expert system shell or tool
5819249,Knowledge representation and reasoning technique
5819249,Having specific management of a knowledge base
5819249,Creation or modification
5822740,FUZZY LOGIC
5822740,Control
5822740,Fuzzy inference processing
5822740,FUZZY LOGIC HARDWARE
5822740,Having function generator
5822740,Defuzzification processing
5822740,"Analog fuzzy computer (e.g., controller)"
5822741,Learning task
5822742,Multilayer feedforward
5822742,Learning method
5822742,Classification or recognition
5822743,Knowledge acquisition by a knowledge processing system
5822743,Having specific management of a knowledge base
5822743,Knowledge representation and reasoning technique
5822743,Analogical reasoning system
5822744,"Reasoning under uncertainty (e.g., fuzzy logic)"
5822744,KNOWLEDGE PROCESSING SYSTEM
5822745,Creation or modification
5822745,Knowledge representation and reasoning technique
5822745,Expert system shell or tool
5824937,Classification or recognition
5826248,Structure
5826248,NEURAL NETWORK
5826248,Constraint optimization problem solving
5826249,NEURAL NETWORK
5826249,Learning task
5826249,Learning method
5826250,Having specific management of a knowledge base
5826251,Defuzzification processing
5826251,Fuzzy inference processing
5826251,"Reasoning under uncertainty (e.g., fuzzy logic)"
5826252,KNOWLEDGE PROCESSING SYSTEM
5827071,Education or instruction
5828981,"Geological (e.g., seismology)"
5828981,Earth science
5829983,Education or instruction
5832183,Learning task
5832183,Multilayer feedforward
5832183,Structure
5832183,Classification or recognition
5832465,Non
5832465,"Reasoning under uncertainty (e.g., fuzzy logic)"
5832465,Analogical reasoning system
5832465,Constraint optimization problem solving
5832465,Learning method
5832465,KNOWLEDGE PROCESSING SYSTEM
5832466,NEURAL NETWORK
5832466,Learning method
5832466,Genetic algorithm and genetic programming system
5832466,Creation or modification
5832466,PLURAL PROCESSING SYSTEMS
5832467,KNOWLEDGE PROCESSING SYSTEM
5832467,Genetic algorithm and genetic programming system
5832467,PLURAL PROCESSING SYSTEMS
5832468,Control
5832468,Learning task
5832469,Learning task
5832469,NEURAL NETWORK
5835682,Parallel connection
5835682,Digital neural network
5835682,Digital neuron processor
5835682,APPLICATION USING AI WITH DETAIL OF THE AI SYSTEM
5835682,Control
5835900,Expert system shell or tool
5835900,HAVING PARTICULAR USER INTERFACE
5835900,KNOWLEDGE PROCESSING SYSTEM
5835901,Constraint optimization problem solving
5835901,Learning task
5835901,Multilayer feedforward
5835901,Learning method
5835902,Structure
5835902,Learning method
5836771,Education or instruction
5839120,Genetic algorithm and genetic programming system
5841895,Learning task
5841895,Learning method
5842189,Learning task
5842189,Prediction
5842190,Structure
5842190,Architecture
5842190,Modular
5842191,Radiant energy neural network
5842192,Analogical reasoning system
5842192,"Designing, planning, programming, CAD, CASE"
5842192,KNOWLEDGE PROCESSING SYSTEM
5842193,Expert system shell or tool
5842193,Creation or modification
5842193,Knowledge representation and reasoning technique
5842193,KNOWLEDGE PROCESSING SYSTEM
5842194,Fuzzy neural network
5842194,"Reasoning under uncertainty (e.g., fuzzy logic)"
5844820,KNOWLEDGE PROCESSING SYSTEM
5844820,Simulation
5844820,"Designing, planning, programming, CAD, CASE"
5845049,Learning method
5845049,Learning task
5845049,Structure
5845049,Prediction
5845269,"Analog fuzzy computer (e.g., controller)"
5845269,Control
5845269,Medical
5845270,Frame
5845270,HAVING PARTICULAR USER INTERFACE
5845271,Learning method
5845271,Learning task
5845272,KNOWLEDGE PROCESSING SYSTEM
5845272,Having specific management of a knowledge base
5845275,"Reasoning under uncertainty (e.g., fuzzy logic)"
5845275,FUZZY LOGIC HARDWARE
5845275,FUZZY LOGIC
5845285,NEURAL NETWORK
5848402,Genetic algorithm and genetic programming system
5848402,ADAPTIVE SYSTEM
5848403,Genetic algorithm and genetic programming system
5850625,Learning method
5852814,Genetic algorithm and genetic programming system
5852814,Analogical reasoning system
5852815,Learning task
5852815,Classification or recognition
5852815,Modifiable weight
5852815,Learning method
5852816,Multilayer feedforward
5852816,KNOWLEDGE PROCESSING SYSTEM
5852816,Classification or recognition
5852817,Control
5852817,Learning task
5852817,Control
5855009,Analogical reasoning system
5855009,KNOWLEDGE PROCESSING SYSTEM
5855010,KNOWLEDGE PROCESSING SYSTEM
5855010,Temporal logic
5855010,Frame
5855011,"Reasoning under uncertainty (e.g., fuzzy logic)"
5855011,KNOWLEDGE PROCESSING SYSTEM
5856828,"Designing, planning, programming, CAD, CASE"
5856925,Computer program preparation
5856925,"Designing, planning, programming, CAD, CASE"
5857177,NEURAL NETWORK
5857177,Digital neuron processor
5857178,Digital neural network
5859925,Structure
5864832,Genetic algorithm and genetic programming system
5864833,Genetic algorithm and genetic programming system
5864833,KNOWLEDGE PROCESSING SYSTEM
5864834,Learning task
5864834,Approximation
5864835,Semiconductor neural network
5864836,Radiant energy neural network
5864836,PLURAL PROCESSING SYSTEMS
5867397,Genetic algorithm and genetic programming system
5867813,Learning method
5868575,Education or instruction
5868576,Education or instruction
5870727,HAVING PARTICULAR USER INTERFACE
5870728,Learning method
5870728,Learning task
5870729,Structure
5870729,Classification or recognition
5870729,Learning task
5870730,Ruled
5870731,Education or instruction
5870731,KNOWLEDGE PROCESSING SYSTEM
5870731,"Reasoning under uncertainty (e.g., fuzzy logic)"
5870755,Creation or modification
5870768,KNOWLEDGE PROCESSING SYSTEM
5873094,KNOWLEDGE PROCESSING SYSTEM
5873735,Education or instruction
5873824,Classification or recognition
5874955,Expert system shell or tool
5875285,MACHINE LEARNING
5875285,KNOWLEDGE PROCESSING SYSTEM
5875285,Frame
5875438,"Analog fuzzy computer (e.g., controller)"
5875438,Fuzzy inference processing
5875438,FUZZY LOGIC
5875438,FUZZY LOGIC HARDWARE
5875438,Having function generator
5875438,"Reasoning under uncertainty (e.g., fuzzy logic)"
5875438,Having function calculator
5875439,Structure
5875439,"Signal processing (e.g., filter)"
5875439,Analog neural network
5875439,Having multiplying digital
5875439,Digital neural network
5875440,Having specific management of a knowledge base
5877954,Learning task
5877954,Control
5878406,"Semantic network (e.g., conceptual dependency, fact based structure)"
5879162,Education or instruction
5884294,PLURAL PROCESSING SYSTEMS
5884295,Learning task
5884296,Classification or recognition
5884309,Having specific management of a knowledge base
5885087,Education or instruction
5889424,Using pulse modulation
5889882,Medical
5890101,Learning method
5890142,MACHINE LEARNING
5890143,MACHINE LEARNING
5890143,"Reasoning under uncertainty (e.g., fuzzy logic)"
5890145,Knowledge representation and reasoning technique
5890145,PLURAL PROCESSING SYSTEMS
5890146,PLURAL PROCESSING SYSTEMS
5890146,Knowledge representation and reasoning technique
5890905,Education or instruction
5892678,"Layout (e.g., circuit, construction)"
5893083,KNOWLEDGE PROCESSING SYSTEM
5893083,Knowledge representation and reasoning technique
5893084,Having specific management of a knowledge base
5893084,KNOWLEDGE PROCESSING SYSTEM
5893085,"Reasoning under uncertainty (e.g., fuzzy logic)"
5893085,FUZZY LOGIC
5893085,Having specific management of a knowledge base
5893140,Electronic or computer (internal or network) circuit
5895435,Vehicle or aerospace
5895458,Fuzzy inference processing
5895458,"Analog fuzzy computer (e.g., controller)"
5895458,"Digital fuzzy computer (e.g., controller)"
5895459,PLURAL PROCESSING SYSTEMS
5895459,HAVING PARTICULAR USER INTERFACE
5895460,Semiconductor neural network
5897627,Learning task
5897627,MACHINE LEARNING
5897628,Genetic algorithm and genetic programming system
5897629,Genetic algorithm and genetic programming system
5897630,KNOWLEDGE PROCESSING SYSTEM
5897630,Knowledge representation and reasoning technique
5897646,Ruled
5897646,HAVING PARTICULAR USER INTERFACE
5899700,Education or instruction
5899984,Learning task
5899984,Learning method
5899985,KNOWLEDGE PROCESSING SYSTEM
5899985,Analogical reasoning system
5901272,Prediction
5901272,Approximation
5903883,"Signal processing (e.g., filter)"
5903883,"Beamforming (e.g., target location, radar)"
5903883,Approximation
5903883,NEURAL NETWORK
5903884,Learning method
5903884,Classification or recognition
5903885,Ruled
5903885,Knowledge representation and reasoning technique
5903886,Having specific management of a knowledge base
5905977,Knowledge representation and reasoning technique
5905978,"Reasoning under uncertainty (e.g., fuzzy logic)"
5905978,FUZZY LOGIC HARDWARE
5905978,Fuzzy inference processing
5907834,Learning task
5907834,Classification or recognition
5907834,ADAPTIVE SYSTEM
5909370,Control
5909370,ADAPTIVE SYSTEM
5909370,FUZZY LOGIC
5909646,"Signal processing (e.g., filter)"
5909674,Genetic algorithm and genetic programming system
5909675,Classification or recognition
5909676,NEURAL NETWORK
5909676,Learning method
5909676,Control
5909676,Learning task
5909681,Learning task
5913916,FUZZY LOGIC
5914882,FUZZY LOGIC
5915247,Fuzzy inference processing
5915253,Ruled
5915973,Education or instruction
5917489,Ruled
5917489,KNOWLEDGE PROCESSING SYSTEM
5917731,Process plant
5917731,KNOWLEDGE PROCESSING SYSTEM
5918014,MACHINE LEARNING
5918200,Analogical reasoning system
5918200,Knowledge acquisition by a knowledge processing system
5918221,Defuzzification processing
5918221,Fuzzy inference processing
5918221,FUZZY LOGIC HARDWARE
5920314,Creation or modification
5920851,Lattice
5920851,Classification or recognition
5920852,Structure
5923558,Control
5923558,Power plant
5923558,"Manufacturing or machine (e.g., agricultural machinery, machine tool)"
5923558,Process plant
5923573,"Designing, planning, programming, CAD, CASE"
5924052,FUZZY LOGIC
5924085,"Analog fuzzy computer (e.g., controller)"
5924085,Fuzzy neural network
5924085,Fuzzy inference processing
5924086,Process plant
5924086,Control
5924086,Learning method
5926296,Radiant energy neural network
5926802,"Digital fuzzy computer (e.g., controller)"
5926802,Fuzzy inference processing
5926803,Genetic algorithm and genetic programming system
5926804,Learning method
5926804,Learning task
5930136,FUZZY LOGIC
5930136,Control
5930136,Process plant
5930315,Power plant
5930780,Genetic algorithm and genetic programming system
5930780,PLURAL PROCESSING SYSTEMS
5930781,Learning task
5930781,Learning method
5932852,Elevator
5932852,Genetic algorithm and genetic programming system
5933818,KNOWLEDGE PROCESSING SYSTEM
5933818,Genetic algorithm and genetic programming system
5933818,MACHINE LEARNING
5933819,Prediction
5933819,Multilayer feedforward
5934909,Education or instruction
5934910,Education or instruction
5937397,HAVING PARTICULAR USER INTERFACE
5937397,PLURAL PROCESSING SYSTEMS
5937398,Classification or recognition
5937398,Single
5937399,Structure
5937399,NEURAL NETWORK
5937399,Semiconductor neural network
5937400,"Semantic network (e.g., conceptual dependency, fact based structure)"
5937432,Association
5937432,Control
5937941,"Reasoning under uncertainty (e.g., fuzzy logic)"
5937941,FUZZY LOGIC
5940533,Genetic algorithm and genetic programming system
5940777,"Geological (e.g., seismology)"
5940814,FUZZY LOGIC HARDWARE
5940814,"Reasoning under uncertainty (e.g., fuzzy logic)"
5940814,KNOWLEDGE PROCESSING SYSTEM
5940814,Fuzzy inference processing
5940814,Defuzzification processing
5940814,FUZZY LOGIC
5940815,MACHINE LEARNING
5940815,Creation or modification
5940815,HAVING PARTICULAR USER INTERFACE
5940816,Genetic algorithm and genetic programming system
5940817,Knowledge representation and reasoning technique
5940817,KNOWLEDGE PROCESSING SYSTEM
5942986,Medical
5943659,Control
5943659,Recurrent
5943659,Fuzzy neural network
5943660,NEURAL NETWORK
5943660,PLURAL PROCESSING SYSTEMS
5943661,Learning method
5943661,Learning task
5943662,Control
5943662,Learning method
5943662,Fuzzy neural network
5943662,MACHINE LEARNING
5943663,MACHINE LEARNING
5943663,ADAPTIVE SYSTEM
5943663,PLURAL PROCESSING SYSTEMS
5943663,KNOWLEDGE PROCESSING SYSTEM
5943664,"Reasoning under uncertainty (e.g., fuzzy logic)"
5943664,FUZZY LOGIC HARDWARE
5943664,FUZZY LOGIC
5943665,Knowledge acquisition by a knowledge processing system
5944839,Ruled
5946640,NEURAL NETWORK
5946673,Genetic algorithm and genetic programming system
5946674,Genetic algorithm and genetic programming system
5946675,Learning method
5948058,Ruled
5948058,KNOWLEDGE PROCESSING SYSTEM
5950146,Classification or recognition
5950146,Learning method
5950170,Constraint optimization problem solving
5950180,Approximation
5950180,ADAPTIVE SYSTEM
5950180,Learning task
5950180,Learning method
5950181,Classification or recognition
5950181,Electronic or computer (internal or network) circuit
5950181,NEURAL NETWORK
5950181,Architecture
5950181,Learning task
5950182,KNOWLEDGE PROCESSING SYSTEM
5950182,Knowledge representation and reasoning technique
5950182,Ruled
5950183,"Reasoning under uncertainty (e.g., fuzzy logic)"
5953707,Business
5953713,Control
5953713,Constraint optimization problem solving
5953713,NEURAL NETWORK
5953713,Learning task
5956701,Classification or recognition
5956702,Classification or recognition
5956702,Learning method
5956702,"Signal processing (e.g., filter)"
5956702,Radiant energy neural network
5956702,"Hybrid network (i.e., analog and digital)"
5956702,Constraint optimization problem solving
5956703,Architecture
5957520,Knowledge acquisition by a knowledge processing system
5957520,Analogical reasoning system
5957699,Education or instruction
5958050,Ruled
5959529,Medical
5960375,Process plant
5960419,Creation or modification
5960419,Expert system shell or tool
5960422,Ruled
5960422,Creation or modification
5960439,KNOWLEDGE PROCESSING SYSTEM
5963447,Knowledge representation and reasoning technique
5963447,Knowledge acquisition by a knowledge processing system
5963447,PLURAL PROCESSING SYSTEMS
5963447,Creation or modification
5963583,FUZZY LOGIC HARDWARE
5963929,Recurrent
5963929,"Signal processing (e.g., filter)"
5963930,Digital neuron processor
5963931,KNOWLEDGE PROCESSING SYSTEM
5963931,Having specific management of a knowledge base
5963931,Knowledge representation and reasoning technique
5963931,Expert system shell or tool
5966310,"Designing, planning, programming, CAD, CASE"
5966533,Information retrieval or information management
5966533,KNOWLEDGE PROCESSING SYSTEM
5966533,Ruled
5966533,Computer program preparation
5966650,MACHINE LEARNING
5966701,Learning method
5966701,Classification or recognition
5966701,Structure
5967981,Medical
5967981,Prediction
5970426,Prediction
5970426,NEURAL NETWORK
5970426,Learning task
5970426,Learning method
5970431,"Designing, planning, programming, CAD, CASE"
5970435,Classification or recognition
5970482,MACHINE LEARNING
5970482,KNOWLEDGE PROCESSING SYSTEM
5970482,Learning task
5970487,Genetic algorithm and genetic programming system
5970487,KNOWLEDGE PROCESSING SYSTEM
5971747,Control
5971747,Learning task
5971922,Temporal logic
5971922,KNOWLEDGE PROCESSING SYSTEM
5974350,"Digital fuzzy computer (e.g., controller)"
5974404,Learning method
5974404,Classification or recognition
5974405,Expert system shell or tool
5974405,KNOWLEDGE PROCESSING SYSTEM
5974408,KNOWLEDGE PROCESSING SYSTEM
5974422,Approximation
5974457,Communication
5974457,Knowledge representation and reasoning technique
5978782,Learning task
5978783,KNOWLEDGE PROCESSING SYSTEM
5978783,MISCELLANEOUS
5978783,"Signal processing (e.g., filter)"
5978783,Control
5978783,Prediction
5978784,KNOWLEDGE PROCESSING SYSTEM
5978784,Creation or modification
5978784,HAVING PARTICULAR USER INTERFACE
5978784,Expert system shell or tool
5978785,Analogical reasoning system
5978786,Knowledge representation and reasoning technique
5978786,Temporal logic
5978789,Non
5980079,Learning method
5983020,Ruled
5983020,Creation or modification
5983210,Neural simulation environment
5983210,NEURAL NETWORK
5983210,Learning method
5983210,Learning task
5983211,Having specific pattern matching or control technique
5983211,NEURAL NETWORK
5983211,Analog neural network
5987362,Vehicle or aerospace
5987362,FUZZY LOGIC
5987397,Learning method
5987420,Time management
5987442,PLURAL PROCESSING SYSTEMS
5987443,KNOWLEDGE PROCESSING SYSTEM
5987443,Ruled
5987443,HAVING PARTICULAR USER INTERFACE
5987443,Education or instruction
5987444,Control
5987444,Learning method
5987444,ADAPTIVE SYSTEM
5987444,NEURAL NETWORK
5987445,Knowledge acquisition by a knowledge processing system
5987445,KNOWLEDGE PROCESSING SYSTEM
5987445,Knowledge representation and reasoning technique
5987473,Ruled
5987473,Knowledge representation and reasoning technique
5987473,Expert system shell or tool
5988844,"Reasoning under uncertainty (e.g., fuzzy logic)"
5988844,Fuzzy inference processing
5988848,"Analog fuzzy computer (e.g., controller)"
5988848,"Digital fuzzy computer (e.g., controller)"
5988848,Fuzzy inference processing
5988848,ADAPTIVE SYSTEM
5990880,KNOWLEDGE PROCESSING SYSTEM
5990892,Knowledge acquisition by a knowledge processing system
5991707,KNOWLEDGE PROCESSING SYSTEM
5991743,Blackboard system
5991743,KNOWLEDGE PROCESSING SYSTEM
5993194,Control
5993194,Learning task
5994865,FUZZY LOGIC
5994865,"Digital fuzzy computer (e.g., controller)"
5995114,PLURAL PROCESSING SYSTEMS
5995669,Parallel connection
5995737,Genetic algorithm and genetic programming system
5995951,PLURAL PROCESSING SYSTEMS
5995952,Constraint optimization problem solving
5995952,NEURAL NETWORK
5995952,ADAPTIVE SYSTEM
5995952,Learning task
5995952,Learning method
5995953,Classification or recognition
5995954,Digital neural network
5995954,Radiant energy neural network
5995954,Structure
5995955,Having specific management of a knowledge base
5995955,"Semantic network (e.g., conceptual dependency, fact based structure)"
5995955,KNOWLEDGE PROCESSING SYSTEM
5995956,Analogical reasoning system
5999182,Knowledge representation and reasoning technique
5999643,Multilayer feedforward
5999894,Power plant
5999922,NEURAL NETWORK
5999923,Ruled
5999923,Knowledge acquisition by a knowledge processing system
6000504,Genetic algorithm and genetic programming system
6000504,Elevator
6000826,"Designing, planning, programming, CAD, CASE"
6000826,KNOWLEDGE PROCESSING SYSTEM
6000945,Education or instruction
6002985,"Geological (e.g., seismology)"
6003020,"Reasoning under uncertainty (e.g., fuzzy logic)"
6003020,HAVING PARTICULAR USER INTERFACE
6003020,Medical
6003021,Knowledge representation and reasoning technique
6003021,Ruled
6003143,Knowledge representation and reasoning technique
6006170,ADAPTIVE SYSTEM
6006188,Having specific management of a knowledge base
6006213,Knowledge representation and reasoning technique
6006213,ADAPTIVE SYSTEM
6006213,Ruled
6006213,KNOWLEDGE PROCESSING SYSTEM
6006213,Knowledge acquisition by a knowledge processing system
6009418,Structure
6009418,Learning method
6009418,Architecture
6009418,Learning task
6009418,NEURAL NETWORK
6009419,Learning task
6009419,NEURAL NETWORK
6009419,Prediction
6009420,KNOWLEDGE PROCESSING SYSTEM
6009421,Knowledge acquisition by a knowledge processing system
6009421,Process plant
6009421,"Manufacturing or machine (e.g., agricultural machinery, machine tool)"
6009421,Control
6009436,Creation or modification
6009436,Expert system shell or tool
6009439,KNOWLEDGE PROCESSING SYSTEM
6011464,Fuzzy inference processing
6012034,Ruled
6012043,KNOWLEDGE PROCESSING SYSTEM
6012051,"Reasoning under uncertainty (e.g., fuzzy logic)"
6014626,Medical
6014631,Medical
6014652,Approximation
6014652,NEURAL NETWORK
6014652,Learning task
6014653,Learning task
6014653,Classification or recognition
6014654,MISCELLANEOUS
6014654,ADAPTIVE SYSTEM
6014661,Knowledge acquisition by a knowledge processing system
6016477,HAVING PARTICULAR USER INTERFACE
6016477,Expert system shell or tool
6016486,Ruled
6016503,Prediction
6017143,PLURAL PROCESSING SYSTEMS
6017143,Control
6018617,Education or instruction
6018727,Learning task
6018727,Modular
6018727,Recurrent
6018728,Classification or recognition
6018728,Learning method
6018729,Control
6018729,Classification or recognition
6018729,Prediction
6018730,KNOWLEDGE PROCESSING SYSTEM
6018730,Ruled
6018731,Ruled
6018732,Knowledge representation and reasoning technique
6018732,Expert system shell or tool
6018732,Ruled
6018732,Business
6018735,Fuzzy neural network
6018735,Control
6018738,HAVING PARTICULAR USER INTERFACE
6021369,ADAPTIVE SYSTEM
6021369,Learning method
6021403,Knowledge representation and reasoning technique
6021403,Knowledge acquisition by a knowledge processing system
6021403,HAVING PARTICULAR USER INTERFACE
6021403,"Reasoning under uncertainty (e.g., fuzzy logic)"
6021403,KNOWLEDGE PROCESSING SYSTEM
6021404,Knowledge representation and reasoning technique
6021404,KNOWLEDGE PROCESSING SYSTEM
6021404,Ruled
6022222,Education or instruction
6023663,Learning method
6023663,Radiant energy neural network
6023663,Classification or recognition
6023668,FUZZY LOGIC
6023668,Vehicle or aerospace
6023668,Vehicle or aerospace
6023691,Fuzzy neural network
6023692,ADAPTIVE SYSTEM
6023693,Learning method
6026178,"Signal processing (e.g., filter)"
6026178,Multilayer feedforward
6026386,Ruled
6026386,HAVING PARTICULAR USER INTERFACE
6026386,KNOWLEDGE PROCESSING SYSTEM
6026387,Knowledge representation and reasoning technique
6026387,Having specific management of a knowledge base
6026387,"Semantic network (e.g., conceptual dependency, fact based structure)"
6026387,"Reasoning under uncertainty (e.g., fuzzy logic)"
6026387,KNOWLEDGE PROCESSING SYSTEM
6026393,Analogical reasoning system
6026393,Knowledge representation and reasoning technique
6026393,Having specific management of a knowledge base
6028626,"Law, law enforcement, or government"
6028956,Multilayer feedforward
6028956,Classification or recognition
6028987,Predicate logic or predicate calculus
6029043,Education or instruction
6029099,Structure
6029099,Learning task
6029156,HAVING PARTICULAR USER INTERFACE
6029156,MACHINE LEARNING
6029157,Learning task
6029157,Constraint optimization problem solving
6029157,Control
6029157,Learning method
6029157,NEURAL NETWORK
6029157,Process plant
6029158,Ruled
6029158,KNOWLEDGE PROCESSING SYSTEM
6029159,Ruled
6029159,Knowledge representation and reasoning technique
6029167,KNOWLEDGE PROCESSING SYSTEM
6031984,KNOWLEDGE PROCESSING SYSTEM
6031984,Genetic algorithm and genetic programming system
6032125,Prediction
6032139,Genetic algorithm and genetic programming system
6032140,NEURAL NETWORK
6032140,Architecture
6032141,KNOWLEDGE PROCESSING SYSTEM
6032141,HAVING PARTICULAR USER INTERFACE
6032141,Business
6032141,Education or instruction
6032142,Knowledge representation and reasoning technique
6032142,Ruled
6032142,Having specific management of a knowledge base
6035270,Classification or recognition
6035292,Ruled
6035292,KNOWLEDGE PROCESSING SYSTEM
6035385,FUZZY LOGIC HARDWARE
6038555,Prediction
6038555,NEURAL NETWORK
6038556,Learning method
6038556,Architecture
6038556,Constraint optimization problem solving
6038560,Having specific management of a knowledge base
6040842,Knowledge representation and reasoning technique
6041299,Learning method
6041299,Parallel connection
6041320,FUZZY LOGIC HARDWARE
6041321,Digital neural network
6041322,Digital neural network
6041322,Multilayer feedforward
6041322,Digital neuron processor
6041322,Analog neural network
6041322,Learning method
6044325,"Geological (e.g., seismology)"
6044356,Knowledge acquisition by a knowledge processing system
6044375,Classification or recognition
6044375,Information retrieval or information management
6047220,Control
6047275,FUZZY LOGIC HARDWARE
6047275,"Digital fuzzy computer (e.g., controller)"
6047275,"Analog fuzzy computer (e.g., controller)"
6047275,Fuzzy inference processing
6047276,Analog neural network
6047276,Approximation
6047277,ADAPTIVE SYSTEM
6047277,Learning task
6047277,NEURAL NETWORK
6047277,Classification or recognition
6047277,Learning method
6047278,"Reasoning under uncertainty (e.g., fuzzy logic)"
6047278,Non
6047279,MISCELLANEOUS
6047279,Expert system shell or tool
6047279,Knowledge acquisition by a knowledge processing system
6049738,Control
6049764,Expert system shell or tool
6049792,HAVING PARTICULAR USER INTERFACE
6049792,PLURAL PROCESSING SYSTEMS
6049792,Having specific pattern matching or control technique
6049793,Classification or recognition
6049793,Approximation
6049794,Knowledge representation and reasoning technique
6049794,KNOWLEDGE PROCESSING SYSTEM
6049794,Ruled
6052676,Knowledge representation and reasoning technique
6052676,HAVING PARTICULAR USER INTERFACE
6052677,ADAPTIVE SYSTEM
6052677,MACHINE LEARNING
6052677,Simulation
6052678,Genetic algorithm and genetic programming system
6052678,KNOWLEDGE PROCESSING SYSTEM
6052678,Classification or recognition
6052679,Structure
6052679,NEURAL NETWORK
6052680,Having specific pattern matching or control technique
6052680,Ruled
6053737,Vehicle or aerospace
6055523,ADAPTIVE SYSTEM
6055523,MACHINE LEARNING
